date,method,passed,balance_max_abs_kwh,soc_recurrence_max_abs_kwh,emergency_definition_max_abs_kwh,cost_max_abs_yuan,within_day_soc_continuity_max_abs_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,charge_discharge_conflicts,charge_emergency_conflicts,source_causal,plan_frozen,solver_method,solver_success,solver_status_code,mip_gap,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,model_max_constraint_violation
2025-08-10,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6555.41493896,823.599192857,815.903969048,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,4.18692610265e-05,12,2,720,2880,3.36740413331e-10
2025-08-11,stochastic,True,2.27373675443e-13,4.12114786741e-13,0,0,0,1200,7066.79291722,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,1.73806056311e-05,13,1,720,2880,1.30057742354e-10
2025-08-12,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6030.55821831,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000809157581713,27,1,576,2880,8.30368662719e-10
2025-08-13,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6449.24202267,833.333333333,790.293847619,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,6.66113782683e-06,19,1,576,2880,2.4999735615e-09
2025-08-14,stochastic,True,2.27373675443e-13,4.40536496171e-13,0,0,0,1200,7051.06587139,833.333333333,820.54405,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000226970906099,27,1,576,2880,1.58479451784e-10
2025-08-15,stochastic,True,1.13686837722e-13,5.68434188608e-13,0,0,0,1528.38386159,10800,833.333333333,553.322559524,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.77754489868e-05,24,1,576,2880,2.54658516496e-11
2025-08-16,stochastic,True,1.13686837722e-13,7.95807864051e-13,0,0,0,4476.43552116,10800,544.969300452,584.18952381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,6.95440011687e-05,20,2,720,2880,1.67801772477e-10
2025-08-17,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7684.18297071,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.06474680997e-05,16,2,576,2880,2.70802047453e-10
2025-08-18,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6640.57153536,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,9.80939759783e-05,21,1,432,2880,1.76805770025e-09
2025-08-19,stochastic,True,3.05533376377e-13,4.54747350886e-13,0,0,0,1200,6796.5260345,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,1.58820392663e-05,21,1,576,2880,4.40422809334e-10
2025-08-20,stochastic,True,2.27373675443e-13,4.12114786741e-13,0,0,0,1200,5845.83375586,796.690745238,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000246676352383,16,1,720,2880,2.76024820778e-08
2025-08-21,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,5802.00847763,833.333333333,773.174452381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000141731471177,30,1,720,2880,2.72166289506e-10
2025-08-22,stochastic,True,1.13686837722e-13,3.6382008517e-13,0,0,0,1497.39256707,10800,833.333333333,601.918095238,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,4.35248536873e-05,25,1,576,2880,1.18689058581e-10
2025-08-23,stochastic,True,1.13686837722e-13,7.95807864051e-13,0,0,0,4456.50581746,10800,634.880845019,560.345714286,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000115119091394,18,1,576,2880,1.65528035723e-10
2025-08-24,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6899.61408543,833.333333333,757.689483333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000146640065056,20,1,576,2880,1.26976829051e-09
2025-08-25,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6261.20582489,833.333333333,781.346419048,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000100179717475,26,1,576,2880,8.36735125631e-10
